col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
4764	4765	宅地(土地)	住宅地	13112	東京都	世田谷区	等々力	尾山台	11	290000000	2900000.0		330	870000.0	正方形	18.1					住宅	南	区道	8.3	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
4765	4766	宅地(土地)	住宅地	13112	東京都	世田谷区	等々力	尾山台	5	93000000	2900000.0		105	880000.0	長方形	6.2					住宅	西	区道	3.8	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4770	4771	宅地(土地)	住宅地	13116	東京都	豊島区	池袋本町	北池袋	3	40000000	2100000.0		65	630000.0	不整形	13.5					住宅	北	道路	24.0	第１種住居地域	80.0	400.0	2021年第３四半期		
4783	4784	宅地(土地)	住宅地	13112	東京都	世田谷区	等々力	等々力	11	75000000	2900000.0		85	870000.0	長方形	5.9					住宅	東	私道	5.0	第１種中高層住居専用地域	60.0	200.0	2021年第４四半期		
4786	4787	宅地(土地)	住宅地	13112	東京都	世田谷区	等々力	等々力	10	150000000	1900000.0		250	580000.0	ほぼ長方形	14.5						東	区道	5.9	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
4792	4793	宅地(土地)	住宅地	13112	東京都	世田谷区	中町	上野毛	4	120000000	2100000.0		195	630000.0	ほぼ整形	11.3					住宅	南	区道	6.0	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		関係者間取引
4799	4800	宅地(土地)	住宅地	13112	東京都	世田谷区	中町	上野毛	6	70000000	2500000.0		90	760000.0	ほぼ長方形	7.0					住宅	南	私道	4.5	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4805	4806	宅地(土地)	住宅地	13112	東京都	世田谷区	中町	用賀	14	65000000	2500000.0		85	770000.0	ほぼ長方形	8.0					住宅	南東	区道	6.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4809	4810	宅地(土地)	住宅地	13112	東京都	世田谷区	野沢	学芸大学	11	82000000	3400000.0		80	1000000.0	ほぼ整形	8.0					住宅	南	区道	6.0	第１種低層住居専用地域	50.0	150.0	2021年第３四半期		
4810	4811	宅地(土地)	住宅地	13112	東京都	世田谷区	野沢	学芸大学	13	42000000	1800000.0		75	540000.0	長方形	9.0					住宅	南東	私道	3.6	第２種住居地域	60.0	300.0	2021年第３四半期		
4823	4824	宅地(土地)	住宅地	13112	東京都	世田谷区	八幡山	上北沢	14	50000000	1500000.0		110	460000.0	ほぼ長方形	6.2					住宅	北西	私道	5.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		私道を含む取引
4824	4825	宅地(土地)	住宅地	13112	東京都	世田谷区	八幡山	上北沢	14	42000000	1600000.0		85	490000.0	不整形	7.5					住宅	南東	私道	5.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		私道を含む取引
4826	4827	宅地(土地)	住宅地	13112	東京都	世田谷区	八幡山	八幡山	5	33000000	1500000.0		70	460000.0	長方形						住宅	北	私道	4.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4829	4830	宅地(土地)	住宅地	13112	東京都	世田谷区	羽根木	東松原	2	90000000	3000000.0		100	900000.0	ほぼ長方形	8.0						北	道路	4.5	第１種住居地域	60.0	200.0	2021年第３四半期		
