"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1028,"宅地(土地)","住宅地","13103","東京都","港区","南青山","乃木坂","9",800000000,"6900000","","380",2100000,"ほぼ長方形","12.6","","","","","その他","北東","私道",4.5,"第２種中高層住居専用地域",60,200,"2021年第３四半期","",""
1029,"中古マンション等","","13103","東京都","港区","南青山","乃木坂","7",210000000,"","１ＬＤＫ","95",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
1030,"中古マンション等","","13107","東京都","墨田区","太平","錦糸町","9",45000000,"","３ＬＤＫ","60",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第３四半期","未改装",""
1031,"宅地(土地と建物)","商業地","13103","東京都","港区","南麻布","麻布十番","3",500000000,"","","115",,"ほぼ長方形","9.5","380","昭和50年","ＲＣ","共同住宅、店舗","事務所","北","区道",11.4,"商業地域",80,400,"2021年第４四半期","",""
1032,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","5",70000000,"","１ＤＫ","30",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第４四半期","未改装",""
1033,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","8",260000000,"","３ＬＤＫ","150",,"","","","","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第４四半期","未改装",""
1034,"宅地(土地と建物)","住宅地","13103","東京都","港区","南麻布","麻布十番","8",460000000,"","","155",,"長方形","11.0","220","昭和36年","木造","住宅、工場、事務所","その他","南西","区道",7.2,"準工業地域",60,400,"2021年第３四半期","",""
1035,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","7",27000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","","住宅","","",,"",,,"2021年第３四半期","未改装",""
1036,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","8",160000000,"","１ＬＤＫ＋Ｓ","85",,"","","","","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
1037,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","7",67000000,"","１ＬＤＫ","35",,"","","","","","","その他","","",,"",,,"2021年第３四半期","未改装",""
1038,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","6",24000000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","未改装",""
1039,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","10",85000000,"","２ＬＤＫ","60",,"","","","平成7年","ＳＲＣ","","住宅","","",,"準工業地域",60,400,"2021年第３四半期","",""
1040,"中古マンション等","","13103","東京都","港区","南麻布","麻布十番","11",100000000,"","１ＬＤＫ","55",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第３四半期","未改装",""
1041,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","立花","小村井","10",55000000,"","","95",,"不整形","2.8","110","平成29年","木造","住宅","住宅","北西","私道",4.6,"準工業地域",80,200,"2021年第３四半期","",""
1042,"中古マンション等","","13103","東京都","港区","南麻布","白金高輪","5",59000000,"","１ＤＫ","35",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第４四半期","",""
1043,"中古マンション等","","13103","東京都","港区","南麻布","白金高輪","4",27000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1044,"中古マンション等","","13103","東京都","港区","南麻布","白金高輪","10",29000000,"","１Ｋ","20",,"","","","平成14年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1045,"中古マンション等","","13103","東京都","港区","南麻布","白金高輪","10",29000000,"","１Ｋ","20",,"","","","平成14年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1046,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","立花","亀戸水神","7",49000000,"","","65",,"台形","6.1","125","平成24年","木造","住宅","住宅","北西","区道",4.0,"準工業地域",80,200,"2021年第３四半期","",""
1047,"中古マンション等","","13107","東京都","墨田区","立花","東あずま","4",25000000,"","３ＬＤＫ","65",,"","","","平成20年","ＲＣ","住宅","","","",,"準工業地域",80,200,"2021年第３四半期","未改装",""
1048,"中古マンション等","","13103","東京都","港区","南麻布","広尾","0",250000000,"","３ＬＤＫ","105",,"","","","平成18年","ＲＣ","","","","",,"第１種住居地域",60,300,"2021年第４四半期","未改装",""
1049,"中古マンション等","","13103","東京都","港区","元赤坂","赤坂見附","4",40000000,"","１Ｋ","30",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第４四半期","改装済",""
1050,"宅地(土地)","住宅地","13107","東京都","墨田区","立川","菊川(東京)","5",48000000,"3000000","","50",910000,"ほぼ正方形","7.2","","","","","住宅","北","区道",6.0,"準工業地域",60,300,"2021年第３四半期","",""
1051,"中古マンション等","","13103","東京都","港区","元麻布","広尾","9",110000000,"","３ＬＤＫ","105",,"","","","昭和49年","ＳＲＣ","","住宅","","",,"近隣商業地域",80,400,"2021年第３四半期","",""
1052,"中古マンション等","","13103","東京都","港区","六本木","麻布十番","6",220000000,"","１ＬＤＫ","90",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","未改装",""
1053,"中古マンション等","","13103","東京都","港区","六本木","神谷町","8",310000000,"","","115",,"","","","平成20年","ＳＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,300,"2021年第３四半期","未改装",""
1054,"中古マンション等","","13103","東京都","港区","六本木","六本木","4",1200000000,"","２ＬＤＫ","200",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2021年第４四半期","未改装",""
1055,"中古マンション等","","13103","東京都","港区","六本木","六本木","5",18000000,"","１Ｋ","25",,"","","","昭和48年","ＲＣ","住宅","事務所","","",,"第２種中高層住居専用地域",60,300,"2021年第４四半期","改装済",""
1056,"中古マンション等","","13103","東京都","港区","六本木","六本木","2",15000000,"","","15",,"","","","昭和48年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第４四半期","未改装",""
1057,"中古マンション等","","13103","東京都","港区","六本木","六本木","2",11000000,"","１Ｒ","15",,"","","","昭和48年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第４四半期","",""
1058,"中古マンション等","","13103","東京都","港区","六本木","六本木","2",39000000,"","１ＬＤＫ","35",,"","","","昭和43年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第３四半期","改装済",""
1059,"中古マンション等","","13103","東京都","港区","六本木","六本木","3",180000000,"","２ＬＤＫ","80",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","改装済",""
1060,"中古マンション等","","13103","東京都","港区","六本木","六本木","7",64000000,"","１ＬＤＫ","45",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","改装済",""
1061,"中古マンション等","","13107","東京都","墨田区","千歳","森下(東京)","3",47000000,"","２ＬＤＫ","60",,"","","","昭和61年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","改装済",""
1062,"中古マンション等","","13107","東京都","墨田区","千歳","森下(東京)","5",49000000,"","１ＬＤＫ","40",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","改装済",""
1063,"中古マンション等","","13107","東京都","墨田区","千歳","森下(東京)","7",14000000,"","１Ｋ","20",,"","","","平成2年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","未改装",""
1064,"中古マンション等","","13107","東京都","墨田区","千歳","森下(東京)","3",72000000,"","２ＬＤＫ","60",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","未改装",""
1065,"中古マンション等","","13107","東京都","墨田区","千歳","森下(東京)","8",28000000,"","２ＬＤＫ","65",,"","","","昭和40年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","未改装",""
1066,"中古マンション等","","13107","東京都","墨田区","業平","押上","3",31000000,"","","45",,"","","","平成23年","ＲＣ","","住宅","","",,"準工業地域",60,300,"2021年第３四半期","",""
1067,"中古マンション等","","13107","東京都","墨田区","業平","押上","3",36000000,"","１ＬＤＫ","35",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","未改装",""
1068,"中古マンション等","","13107","東京都","墨田区","業平","押上","3",19000000,"","１Ｋ","20",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"準工業地域",80,300,"2021年第３四半期","",""
1069,"中古マンション等","","13103","東京都","港区","六本木","六本木一丁目","3",100000000,"","１ＬＤＫ","45",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2021年第３四半期","未改装",""
1070,"中古マンション等","","13103","東京都","港区","六本木","六本木一丁目","4",220000000,"","２ＬＤＫ","155",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2021年第３四半期","未改装",""
1071,"宅地(土地)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","2",160000000,"3300000","","155",1000000,"不整形","7.5","","","","","その他","西","区道",5.5,"第１種住居地域",60,400,"2021年第３四半期","",""
1072,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","赤城下町","神楽坂","3",18000000,"","","40",,"ほぼ長方形","3.9","30","昭和44年","木造","住宅","住宅","東","私道",4.0,"第２種住居地域",60,300,"2021年第４四半期","","私道を含む取引"
1073,"中古マンション等","","13107","東京都","墨田区","東駒形","浅草(東武・都営・メトロ)","5",35000000,"","１ＬＤＫ","45",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","未改装",""
1074,"中古マンション等","","13107","東京都","墨田区","東駒形","浅草(東武・都営・メトロ)","7",50000000,"","","65",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","未改装",""
1075,"中古マンション等","","13107","東京都","墨田区","東駒形","浅草(東武・都営・メトロ)","5",48000000,"","２ＬＤＫ","50",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1076,"中古マンション等","","13104","東京都","新宿区","荒木町","四谷三丁目","4",30000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第４四半期","未改装",""
1077,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","東駒形","本所吾妻橋","6",810000000,"","","350",,"長方形","11.9","1100","平成17年","ＲＣ","共同住宅","住宅","西","区道",11.0,"準工業地域",60,300,"2021年第３四半期","",""
1078,"宅地(土地)","住宅地","13107","東京都","墨田区","東駒形","本所吾妻橋","6",200000000,"3900000","","170",1200000,"長方形","8.1","","","","","事務所","東","区道",11.0,"準工業地域",60,300,"2021年第３四半期","","隣地の購入"
1079,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","市谷加賀町","牛込柳町","5",70000000,"","","65",,"ほぼ長方形","7.4","","令和3年","木造","住宅","住宅","西","私道",,"第１種中高層住居専用地域",60,300,"2021年第４四半期","",""
1080,"中古マンション等","","13104","東京都","新宿区","市谷加賀町","牛込柳町","3",110000000,"","３ＬＤＫ","70",,"","","","平成26年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第４四半期","未改装",""
1081,"中古マンション等","","13104","東京都","新宿区","市谷台町","曙橋","6",68000000,"","３ＬＤＫ","60",,"","","","平成26年","","","住宅","","",,"第１種住居地域",60,300,"2021年第４四半期","",""
1082,"宅地(土地と建物)","工業地","13107","東京都","墨田区","東墨田","京成曳舟","14",17000000,"","","210",,"不整形","14.6","340","昭和39年","ＲＣ","共同住宅","住宅","北西","区道",13.6,"工業地域",60,200,"2021年第３四半期","",""
1083,"宅地(土地と建物)","工業地","13107","東京都","墨田区","東墨田","京成曳舟","14",50000000,"","","370",,"不整形","16.8","340","平成21年","軽量鉄骨造","工場","住宅","西","区道",13.6,"工業地域",60,200,"2021年第３四半期","",""
1084,"中古マンション等","","13107","東京都","墨田区","東墨田","京成曳舟","18",27000000,"","１Ｋ","25",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2021年第３四半期","未改装",""
1085,"宅地(土地)","住宅地","13107","東京都","墨田区","東墨田","八広","13",130000000,"740000","","560",220000,"不整形","14.8","","","","","事務所","東","私道",3.9,"工業地域",60,200,"2021年第３四半期","",""
1086,"中古マンション等","","13104","東京都","新宿区","市谷仲之町","曙橋","5",23000000,"","１Ｒ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2021年第４四半期","改装済",""
1087,"中古マンション等","","13104","東京都","新宿区","市谷仲之町","曙橋","4",74000000,"","２ＤＫ","50",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"2021年第４四半期","未改装",""
1088,"中古マンション等","","13107","東京都","墨田区","東向島","京成曳舟","3",10000000,"","１Ｋ","15",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第３四半期","改装済",""
1089,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","東向島","東向島","7",43000000,"","","100",,"不整形","2.0","125","昭和51年","鉄骨造","住宅","住宅","北西","私道",4.0,"準工業地域",80,200,"2021年第３四半期","","私道を含む取引"
1090,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","東向島","東向島","3",49000000,"","","65",,"ほぼ正方形","7.0","95","令和3年","木造","住宅","住宅","西","私道",3.2,"近隣商業地域",80,300,"2021年第３四半期","","私道を含む取引"
1091,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","東向島","東向島","4",99000000,"","","130",,"ほぼ長方形","13.9","240","平成28年","鉄骨造","共同住宅","住宅","南","区道",4.0,"準工業地域",80,300,"2021年第３四半期","",""
1092,"中古マンション等","","13107","東京都","墨田区","東向島","東向島","7",38000000,"","１ＬＤＫ","40",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
1093,"中古マンション等","","13107","東京都","墨田区","東向島","東向島","4",9900000,"","１Ｋ","15",,"","","","昭和62年","ＲＣ","住宅","住宅","","",,"準工業地域",80,300,"2021年第３四半期","未改装",""
1094,"中古マンション等","","13107","東京都","墨田区","東向島","東向島","5",26000000,"","１ＤＫ","25",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1095,"中古マンション等","","13107","東京都","墨田区","東向島","東向島","7",26000000,"","１Ｋ","25",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
1096,"中古マンション等","","13107","東京都","墨田区","東向島","東向島","7",27000000,"","１Ｋ","25",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1097,"中古マンション等","","13104","東京都","新宿区","市谷船河原町","飯田橋","7",120000000,"","２ＬＤＫ","70",,"","","","","ＲＣ","","","","",,"第１種住居地域",60,300,"2021年第３四半期","未改装",""
1098,"中古マンション等","","13104","東京都","新宿区","市谷本村町","曙橋","5",240000000,"","３ＬＤＫ","125",,"","","","平成19年","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","未改装",""
1099,"中古マンション等","","13104","東京都","新宿区","市谷本村町","市ケ谷","5",35000000,"","１ＬＤＫ","30",,"","","","平成15年","","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
1100,"中古マンション等","","13104","東京都","新宿区","市谷本村町","市ケ谷","5",39000000,"","１ＤＫ","30",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
1101,"中古マンション等","","13104","東京都","新宿区","市谷薬王寺町","牛込柳町","5",15000000,"","１Ｋ","20",,"","","","昭和59年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第４四半期","改装済",""
1102,"中古マンション等","","13104","東京都","新宿区","市谷薬王寺町","牛込柳町","6",13000000,"","１Ｋ","20",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1103,"中古マンション等","","13104","東京都","新宿区","市谷薬王寺町","牛込柳町","4",69000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1104,"中古マンション等","","13104","東京都","新宿区","市谷薬王寺町","新宿三丁目","7",62000000,"","２ＬＤＫ","50",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第４四半期","未改装",""
1105,"中古マンション等","","13104","東京都","新宿区","市谷柳町","牛込柳町","1",21000000,"","１Ｋ","15",,"","","","平成15年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1106,"中古マンション等","","13104","東京都","新宿区","市谷柳町","牛込柳町","2",48000000,"","１ＬＤＫ","40",,"","","","平成21年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
1107,"中古マンション等","","13104","東京都","新宿区","岩戸町","牛込神楽坂","2",14000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1108,"中古マンション等","","13104","東京都","新宿区","岩戸町","牛込神楽坂","3",36000000,"","１Ｋ","25",,"","","","平成25年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1109,"中古マンション等","","13104","東京都","新宿区","岩戸町","牛込神楽坂","2",26000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1110,"中古マンション等","","13104","東京都","新宿区","大久保","新大久保","10",21000000,"","１Ｋ","15",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,400,"2021年第３四半期","未改装",""
1111,"中古マンション等","","13104","東京都","新宿区","大久保","新大久保","6",32000000,"","１ＤＫ","30",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第３四半期","未改装",""
1112,"宅地(土地)","住宅地","13107","東京都","墨田区","東向島","曳舟","10",50000000,"1200000","","130",380000,"不整形","3.9","","","","","","南東","区道",6.4,"準工業地域",80,400,"2021年第３四半期","",""
1113,"中古マンション等","","13107","東京都","墨田区","東向島","曳舟","5",51000000,"","３ＬＤＫ","70",,"","","","平成12年","ＳＲＣ","住宅","","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
1114,"中古マンション等","","13104","東京都","新宿区","大久保","高田馬場","8",100000000,"","３ＬＤＫ","70",,"","","","平成26年","ＲＣ","","住宅","","",,"第１種住居地域",60,400,"2021年第４四半期","未改装",""
1115,"中古マンション等","","13104","東京都","新宿区","大久保","西早稲田","1",18000000,"","２ＤＫ","40",,"","","","昭和53年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
1116,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","大久保","東新宿","1",130000000,"","","140",,"不整形","13.9","140","平成9年","軽量鉄骨造","共同住宅","その他","東","私道",2.6,"第１種住居地域",60,300,"2021年第４四半期","","私道を含む取引"
1117,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","大久保","東新宿","3",400000000,"","","240",,"ほぼ長方形","11.0","390","平成19年","ＲＣ","共同住宅","住宅","西","区道",3.2,"第１種住居地域",60,300,"2021年第４四半期","",""
1118,"中古マンション等","","13104","東京都","新宿区","大久保","東新宿","1",37000000,"","１Ｋ","25",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第４四半期","未改装",""
1119,"中古マンション等","","13104","東京都","新宿区","大久保","東新宿","7",20000000,"","１Ｋ","20",,"","","","平成17年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2021年第４四半期","未改装",""
1120,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","大久保","東新宿","1",69000000,"","","45",,"ほぼ長方形","5.2","70","平成20年","木造","住宅","住宅","東","区道",4.0,"第１種住居地域",60,300,"2021年第３四半期","",""
1121,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","東向島","八広","7",50000000,"","","60",,"ほぼ正方形","7.6","90","令和3年","木造","住宅","住宅","西","区道",3.6,"準工業地域",80,300,"2021年第３四半期","",""
1122,"中古マンション等","","13104","東京都","新宿区","改代町","江戸川橋","3",27000000,"","１Ｋ","25",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第３四半期","未改装",""
1123,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","神楽坂","神楽坂","4",300000000,"","","185",,"ほぼ台形","12.4","590","昭和44年","ＲＣ","","住宅","東","区道",3.3,"第１種住居地域",60,300,"2021年第４四半期","",""
1124,"中古マンション等","","13104","東京都","新宿区","歌舞伎町","新宿","7",3500000,"","オープンフロア","15",,"","","","昭和55年","ＳＲＣ","店舗","店舗","","",,"商業地域",80,800,"2021年第４四半期","未改装",""
1125,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","上落合","落合(東京)","2",140000000,"","","85",,"ほぼ長方形","6.3","110","令和3年","木造","共同住宅","住宅","南","区道",3.3,"第１種中高層住居専用地域",60,300,"2021年第４四半期","",""
1126,"中古マンション等","","13104","東京都","新宿区","上落合","落合(東京)","2",66000000,"","２ＬＤＫ","65",,"","","","平成11年","ＳＲＣ","","住宅","","",,"近隣商業地域",80,400,"2021年第４四半期","改装済",""
1127,"中古マンション等","","13104","東京都","新宿区","上落合","落合(東京)","5",23000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","","住宅","","",,"第１種住居地域",60,300,"2021年第４四半期","未改装",""
1128,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","本所","本所吾妻橋","13",19000000,"","","130",,"長方形","10.8","","","","","住宅","西","区道",11.1,"準工業地域",60,300,"2021年第３四半期","",""
1129,"宅地(土地と建物)","住宅地","13107","東京都","墨田区","本所","本所吾妻橋","9",62000000,"","","45",,"長方形","5.1","80","令和3年","木造","住宅","住宅","西","区道",11.1,"準工業地域",60,300,"2021年第３四半期","",""
1130,"中古マンション等","","13107","東京都","墨田区","本所","本所吾妻橋","8",21000000,"","","25",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第３四半期","未改装",""
1131,"中古マンション等","","13107","東京都","墨田区","本所","本所吾妻橋","6",23000000,"","１Ｋ","20",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第３四半期","未改装",""
1132,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","上落合","下落合","4",67000000,"","","45",,"長方形","3.6","70","令和3年","木造","住宅","住宅","北","区道",2.7,"第１種住居地域",60,300,"2021年第４四半期","",""
1133,"中古マンション等","","13104","東京都","新宿区","上落合","下落合","4",21000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第４四半期","未改装",""
1134,"中古マンション等","","13104","東京都","新宿区","上落合","下落合","2",64000000,"","３ＬＤＫ","85",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第３四半期","改装済",""
1135,"中古マンション等","","13104","東京都","新宿区","上落合","下落合","1",54000000,"","２ＬＤＫ","55",,"","","","昭和53年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第３四半期","改装済",""
1136,"中古マンション等","","13104","東京都","新宿区","上落合","下落合","1",35000000,"","２ＬＤＫ","55",,"","","","昭和53年","ＳＲＣ","","住宅","","",,"準工業地域",60,300,"2021年第３四半期","未改装",""
1137,"中古マンション等","","13104","東京都","新宿区","上落合","下落合","6",22000000,"","１Ｋ","20",,"","","","","ＲＣ","","その他","","",,"第１種住居地域",60,400,"2021年第３四半期","",""
1138,"宅地(土地)","住宅地","13104","東京都","新宿区","上落合","中井","4",37000000,"2300000","","50",700000,"台形","5.0","","","","","住宅","北西","区道",4.5,"第１種住居地域",60,300,"2021年第４四半期","",""
1139,"中古マンション等","","13104","東京都","新宿区","上落合","中井","1",12000000,"","１Ｋ","15",,"","","","平成3年","ＳＲＣ","事務所","住宅","","",,"近隣商業地域",80,400,"2021年第４四半期","未改装",""
1140,"中古マンション等","","13104","東京都","新宿区","上落合","中井","3",13000000,"","１Ｋ","30",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第３四半期","未改装",""
1141,"中古マンション等","","13107","東京都","墨田区","緑","菊川(東京)","8",24000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第３四半期","未改装",""
1142,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","河田町","若松河田","4",110000000,"","","75",,"不整形","11.2","100","平成28年","木造","住宅","住宅","北","区道",3.2,"第１種中高層住居専用地域",60,300,"2021年第４四半期","",""
1143,"中古マンション等","","13104","東京都","新宿区","喜久井町","牛込柳町","5",22000000,"","","20",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第３四半期","改装済",""
1144,"中古マンション等","","13104","東京都","新宿区","喜久井町","早稲田(メトロ)","2",14000000,"","１Ｋ","20",,"","","","昭和60年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第３四半期","改装済",""
1145,"中古マンション等","","13107","東京都","墨田区","緑","錦糸町","12",63000000,"","３ＬＤＫ","60",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
1146,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","5",19000000,"","１Ｋ","15",,"","","","平成9年","ＲＣ","","その他","","",,"近隣商業地域",80,400,"2021年第４四半期","未改装",""
1147,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","7",38000000,"","１Ｋ","25",,"","","","平成30年","","","住宅","","",,"第２種住居地域",60,400,"2021年第４四半期","未改装",""
1148,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","7",22000000,"","１Ｋ","15",,"","","","平成10年","ＲＣ","","その他","","",,"第１種中高層住居専用地域",60,300,"2021年第４四半期","",""
1149,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","3",60000000,"","１ＬＤＫ","50",,"","","","平成24年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1150,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","4",55000000,"","１ＬＤＫ","50",,"","","","平成20年","鉄骨造","","住宅","","",,"商業地域",80,500,"2021年第４四半期","未改装",""
1151,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","7",23000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第４四半期","未改装",""
1152,"中古マンション等","","13104","東京都","新宿区","北新宿","大久保(東京)","7",25000000,"","１ＤＫ","25",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2021年第４四半期","未改装",""
