"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
9789,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","美住町","東村山","9",35000000,"","","100",,"袋地等","2.2","90","令和3年","木造","住宅","住宅","西","私道",4.5,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9790,"中古マンション等","","13203","東京都","武蔵野市","桜堤","武蔵境","21",57000000,"","３ＬＤＫ","75",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第４四半期","未改装",""
9791,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","桜堤","武蔵境","16",56000000,"","","160",,"長方形","11.1","160","昭和64年","木造","共同住宅","住宅","西","私道",4.0,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9792,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","関前","三鷹","18",65000000,"","","150",,"不整形","5.9","150","平成13年","軽量鉄骨造","住宅","住宅","北","市道",6.3,"第１種中高層住居専用地域",60,200,"2021年第４四半期","",""
9793,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","廻田町","武蔵大和","3",36000000,"","","120",,"ほぼ正方形","10.8","90","令和3年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9794,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","関前","武蔵境","23",17000000,"","","45",,"ほぼ正方形","6.3","60","昭和50年","木造","住宅、店舗","住宅","北","市道",8.0,"第１種低層住居専用地域",40,80,"2021年第４四半期","",""
9795,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","関前","武蔵境","23",72000000,"","","120",,"ほぼ長方形","9.2","95","令和3年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",40,80,"2021年第４四半期","",""
9796,"宅地(土地)","住宅地","13203","東京都","武蔵野市","関前","武蔵境","15",54000000,"1000000","","170",320000,"袋地等","3.0","","","","","住宅","東","私道",4.0,"第１種低層住居専用地域",40,80,"2021年第４四半期","","私道を含む取引"
9797,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","13",20000000,"","","50",,"","","","昭和41年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第４四半期","未改装",""
9798,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","6",87000000,"","４ＬＤＫ","100",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第４四半期","改装済",""
